Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,67.9496,66.8288,65.708,62.8214,59.9348,57.0482,54.1616,51.275,46.9252,42.5754,38.2256,33.8758,29.526,26.6892,23.8524,21.0156,18.1788,15.342,15.9712,16.6004,17.2296,17.8588,18.488,19.4904,20.4928,21.4952,22.4976,23.5,22.0616,20.6232,19.1848,17.7464,16.308,15.0276,13.7472,12.4668,11.1864,9.906,9.6088,9.3116,9.0144,8.7172,8.42,8.158,7.896,7.634,7.372,7.11,7.064,7.018,6.972,6.926,6.88,6.7856,6.6912,6.5968,6.5024,6.408,..
China,CHN,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.5,..,..,74,..,..,71.1,..,..,..,84.6,..,90.6999969482,90.4000015259,91.0999984741,83.8,..,83,83.8,86.9,..,..,..,..,84.6,..,89.3,89,89.1,88.6,87.9,..,..,..,..,..,..
China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,93.7,84.1,83.6,90.4,89.3,93.1,93.8,..,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,..,..,..
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,117.2,111.5,105.8,100.5,95.1,89.7,84.3,79,74,69.6,65.7,62.3,59.5,57.3,55.7,54.6,53.9,53.7,53.8,53.9,54,53.8,53.2,52.3,50.9,49.3,47.4,45.5,43.5,41.4,39.2,36.8,34.2,31.5,28.9,26.3,24,21.9,20,18.5,17,15.8,14.6,13.5,12.5,11.6,10.8,10,9.3,..
China,CHN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.7,..,..,12.6,..,14.2,..,..,10.7,..,..,6.9,..,7.4,..,6.8,..,..,4.5,..,..,3.8,3.4,3.4,..,..,2.4,..,..,..,..,..
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78,84,88,63,77,95,95,98,92,87,81,75,80,84,83,83,84,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,99,99,99,..
China,CHN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101.895957946777,102.674751281738,103.474731445313,99.0645065307617,100.26416015625,102.01309967041,96.9682998657227,91.8436279296875,89.8559494018555,..,..,..,..,..,..,..,..,89.1412811279297,94.084831237793,103.232208251953,105.66828918457,106.322250366211,103.598678588867,..,99.8866195678711,..,..,..,..,..
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,107.593200683594,106.220741271973,107.364532470703,114.408813476563,118.155563354492,120.911712646484,121.580116271973,117.05184173584,111.565330505371,110.546356201172,111.32991027832,113.044380187988,112.850723266602,113.02108001709,113.876091003418,118.962532043457,123.532676696777,127.908973693848,129.365600585938,129.086990356445,127.428031921387,123.575508117676,120.309852600098,116.698013305664,113.358901977539,110.553062438965,107.354248046875,105.256439208984,105.618591308594,..,..,110.276069641113,114.662307739258,118.948318481445,..,..,105.474166870117,107.893592834473,109.653861999512,109.362091064453,107.45686340332,105.906700134277,105.233711242676,103.87622833252,99.2027893066406,99.3332290649414,100.853813171387,102.052871704102,..
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,27.9571800231934,37.7428894042969,45.4994087219238,51.5570297241211,47.9807815551758,48.4200286865234,56.0503387451172,56.8820495605469,53.6343116760254,49.5701103210449,43.0292510986328,38.9332809448242,33.2360916137695,30.4903297424316,30.0230503082275,31.4232501983643,33.1503791809082,35.3498916625977,36.9468193054199,37.19921875,37.4352111816406,39.693489074707,42.7265014648438,45.4694404602051,46.9014892578125,50.4073791503906,54.5773010253906,56.9693984985352,..,59.7505416870117,59.6548805236816,59.7167587280273,59.986759185791,61.8509902954102,..,..,70.0199279785156,75.0220794677734,79.8158798217773,84.0127487182617,88.0304412841797,91.0833435058594,92.5681304931641,95.0299530029297,..,..,..,..,..
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.820990025997162,0.826080024242401,0.830479979515076,0.818199992179871,0.811980009078979,0.794979989528656,0.781069993972778,0.777620017528534,0.781620025634766,0.787349998950958,0.808619976043701,0.826449990272522,0.83313000202179,0.842639982700348,0.848559975624084,0.860369980335236,0.874170005321503,0.881269991397858,0.901970028877258,0.915700018405914,0.92874002456665,0.936039984226227,..,..,..,0.965690016746521,..,0.966019988059998,..,..,0.989329993724823,0.992699980735779,0.998109996318817,1.00460004806519,0.990350008010864,0.994029998779297,0.998830020427704,1.00780999660492,1.01124000549316,1.01338005065918,1.01194000244141,1.01504004001617,..
